"Zoltan, Anne","Annie: the female experience / Anne Zoltan","HQ29 .Z64 1973"
"Lifschitz, Konstantin, 1976-","Konstantin Lifschitz [sound recording] : debut recording","comdisc 9711"
"Rodrigo, Joaquín,","Concierto de Aranjuez [sound recording] / Joaquín Rodrigo. Concertino para guitarra y orquesta, op. 72 / Salvador Bacarisse. Tablas : para guitarra y orquesta / Antonio Ruiz-Pipó","comdisc 9639"
"Yepes, Narciso, Performer.","Guitarra española [sound recording]","comdisc 9640"
"Desenne, Paul","Instrumental music. Selections; Tocatas galeonicas [sound recording] : new music from Latin America","comdisc 9633"
"Fisk, Eliot","Sequenza! [sound recording] / [Eliot Fisk]","comdisc 9132"
"","Sviatoslav Richter & Yuri Bashmet [sound recording]","comdisc 9164"
"Harjanne, Jouko, 1962-","Trumpet concertos [sound recording] / Hummel, Gruner, Hartmann, Zimmermann, Haydn","comdisc 9422"
"Dick, Robert, 1950-","The other flute [sound recording]","comdisc 9419"
"Lambert, Constant, 1905-1951","Constant Lambert conducts [sound recording]","comdisc 9493"
"Stokowski, Leopold, 1882-1977, Conductor.","Leopold Stokowski [sound recording] : Debussy, Ravel, Ibert","comdisc 9462"
"Schumann, Robert, 1810-1856","Missa sacra; Missa sacra c-moll für Soli, Chor und Orgel [sound recording] / Robert Schumann. Drei Motetten / Felix Mendelssohn Bartholdy","comdisc 9554"
"Callas, Maria, 1923-1977","Mad scenes and bel canto arias [sound recording]","comdisc 9534"
"Dvorák, Antonín, 1841-1904","Concertos, violoncello, orchestra, op. 104, B minor; Cello concerto [sound recording] / Dvorák. Concerto in C / Haydn","comdisc 9533"
"Perlman, Itzhak, 1945- Performer.","Duets for two violins [sound recording] / Itzhak Perlman, Pinchas Zukerman","comdisc 9527"
"Turnage, Mark-Anthony","Instrumental music. Selections; Drowned out [sound recording]   Kai   Three screaming popes   Momentum / Mark-Anthony Turnage","comdisc 9519"
"Chausson, Ernest, 1855-1899","La légende de Sainte Cécile [sound recording]   La tempête / Chausson","comdisc 9514"
"Haydn, Joseph, 1732-1809","Quartets, strings, H. III, 81-82; Streichquartette, op. 77 [sound recording] / Haydn. Notturno (Quartetto III) / Berio","comdisc 9515"
"Rampal, Jean Pierre","Portrait of Rampal [sound recording] / Jean Pierre Rampal","comdisc 4006"
"","Percorsi archeologici = Archaeological routes","DG28.5 .P47 1993"
"Horia, Vintila","Viaje a los centros de la Tierra / Vintila Horia","AC75 .H555 1987"
"","Phonemic awareness in young children : a classroom curriculum / by Marilyn Jager Adams ... [et al.]","LB1139.L3 P46 1998"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 15 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9673"
"Schubert, Franz, 1797-1828","Vocal music. Selections; 1815 Schubertiad [sound recording]","comdisc 9676"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 23 [sound recording]: Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9678"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 16 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9674"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 18 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9675"
"Schubert, Franz, 1797-1828","Vocal music. Selections; An 1815 Schubertiad. II [sound recording]","comdisc 9677"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 24 [sound recording] : complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9679"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 27 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9680"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 29 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9681"
"Edwards, Harold T","Applied phonetics workbook : a systematic approach to phonetic transcription : instructor's manual / Harold T. Edwards, Alvin L. Gregg","PE2815 .E475 1997b"
"Woolf, Virginia, 1882-1941","Three guineas / Virginia Woolf   edited by Naomi Black","PR6045.O72 T5 2001b"
"Copland, Aaron, 1900-","Billy the Kid [sound recording] / Aaron Copland. Facsimile / Leonard Bernstein. Fall River legend / Morton Gould","comdisc 9458"
"Perlman, Itzhak, 1945-","Greatest hits [sound recording] / Itzhak Perlman","comdisc 9641"
"Brahms, Johannes, 1833-1897","Concertos, violin, violoncello, orchestra, op. 102, A minor; Double concerto in A minor, op. 102 [sound recording] / Johannes Brahms. Violin concerto in E minor, op. 64 / Mendelssohn","comdisc 9526"
"Wieniawski, Henri, 1835-1880","Concertos, violin, orchestra, no. 1, op. 14, F# minor; Konzerte für Violine und Orchester No. 1, op. 14 [sound recording]   No. 2, op. 22   Légende : op. 17 / Henri Wieniawski. Zigeunerweisen : op. 20 / Pablo de Sarasate","comdisc 7211"
"Paganini, Nicolò, 1782-1840","Concertos, violin, orchestra, no. 1, op. 6, Eb major; Konzert für Violine und Orchester no. 1, op. 6 [sound recording] / Nichoò Paganini. Konzert für Violine und Orchester no. 3, op. 61 / Camille Saint-Saëns","comdisc 9714"
"Paganini, Nicolò, 1782-1840","Violin, guitar music. Selections; Paganini for two [sound recording]","comdisc 9642"
"Scriabin, Aleksandr Nikolayevich, 1872-1915","Symphonies, no. 3, op. 43, C; Symphony no. 3 in C minor, op. 43 [sound recording] : (The divine poem) / Scriabin. Fantasy overture Romeo & Juliet / Tchaikovsky","comdisc 9529"
"Parkening, Christopher","Parkening plays Vivaldi, Warlock & Praetorius [sound recording] / Christopher Parkening","comdisc 9516"
"Gyurmé, Lama","The Lama's chant [sound recording] : songs of Awakening / Lama Gyurmé & Jean-Philippe Rykiel","comdisc 9567"
"Beethoven, Ludwig van, 1770-1827","Sonatas, violin, piano, no. 5, op. 24, F major; Sonata in F major, op. 24 [sound recording] : Spring   Sonata in C minor, op. 30, no. 2 / Beethoven. Partita no. 2 in D minor, BWV 1004 / Bach","comdisc 9495"
"Beethoven, Ludwig van, 1770-1827","Trios, piano, strings, op. 97, Bb major; Beethoven/Schubert [sound recording] : trios","comdisc 9499"
"Bax, Arnold, 1883-1953","Symphonies, no. 3; Symphony no. 3 in C [sound recording] / Arnold Bax. These things shall be   The forgotten rite : prelude for orchestra   April : No. 1 of Two pieces, 1924-5 / John Ireland","comdisc 9492"
"Chabrier, Emmanuel, 1841-1894","Orchestra music. Selections; Suite pastorale [sound recording]   Habanera   España   Larghetto   Ouverture de Gwendoline   Prélude pastorale   Marche française   Fête polonaise / Emmanuel Chabrier","comdisc 9637"
"Strauss, Richard, 1864-1949","Eine Alpensinfonie [sound recording] : op. 64   Music for the film  Der Rosenkavalier  / Strauss","comdisc 9522"
"Wagner, Richard, 1813-1883","Selections; Wagner [sound recording]","comdisc 9489"
"Tchaikovsky, Peter Ilich, 1840-1893","Trio, piano, strings, op. 50, A minor; Trio in A minor, op. 50 [sound recording] / Tchaikovsky. Trio in E flat, op. 40 / Brahms","comdisc 9521"
"Mendelssohn-Bartholdy, Felix, 1809-1847","Concertos, violin, orchestra, op. 64, E minor; Violin concerto in E minor [sound recording] / Mendelssohn. Violin concerto in A minor / Dvorák. Légende / Wieniawski","comdisc 9498"
"Barber, Samuel, 1910-","Concertos, violin, orchestra, op. 14; Violin concerto, op. 14 [sound recording] / Samuel Barber. Violin concerto no. 1 in A minor / Dmitri Shostakovich","comdisc 9525"
"","American concertos [sound recording] : works / by Benjamin Lees [et al.]","comdisc 9697"
"Barbirolli, John, Sir, 1899-1970","English tone poems [sound recording]","comdisc 9531"
"Western Wind (Vocal group)","Christmas in the New World [sound recording] / the Western Wind, with guest artists","comdisc 9133"
"Bach, Johann Sebastian, 1685-1750","Musikalisches Opfer; The musical offering, BWV 1079 [sound recording]   The art of the fugue, BWV 1080 / Johann Sebastian Bach","comdisc 9568"
"Rózsa, Miklós, 1907-","Instrumental music. Selections; Miklós Rózsa [sound recording] : Classic Rózsa","comdisc 9703"
"Tchaikovsky, Peter Ilich, 1840-1893","Concertos, violin, orchestra, op. 35. D major; Violin concerto in D [sound recording] / Tchaikovsky. Violin concerto in D minor / Sibelius","comdisc 9518"
"Mahler, Gustav, 1860-1911","Symphonies, no. 4, G major; Symphony no. 4 [sound recording] / Gustav Mahler","comdisc 9709"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 31 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9682"
"","Tax policy / edited by Sven Steinmo","HJ2305 .T175 1998"
"Olsen, Michael D","Strategic management in the hospitality industry / Michael D. Olsen, Eliza Ching-Yick Tse, Joseph J. West","TX911.3.M27 O47 1998"
"Todd, George, 1935-","Selections; Green ideas furiously asleep [sound recording] : electroacoustic music / by George Todd","comdisc 9454"
"","Women's education : gender and the politics of the college curriculum : May 30 (Thursday), 1996 ... / Research Center for Asian Women   sponsored by Sookmyung Women's University, Korea Research Foundation","LC2410.K6 W65 1996"
"Cary, John, ca. 1754-1835","A new map of the kingdom of Denmark, : comprehending North and South Jutland, Zeeland, Fyen, Laaland, and part of Holstein / from the latest authorities, by John Cary, engraver","G6920 1801 .C3 19--"
"Beethoven, Ludwig van, 1770-1827","Concertos, piano, orchestra, no. 5, op. 73, Eb major; Concerto no. 5 in E-flat, op. 73 [sound recording] :  Emperor    Polonaise in C, op. 89   Choral fantasia in C minor, op. 80 / Beethoven","comdisc 9615"
"Rossetti, Christina Georgina, 1830-1894","Prose. Selections; Selected prose of Christina Rossetti / edited by David A. Kent and P.G. Stanwood","PR5237 .A4 1998"
"Di Tella, Torcuato S., 1929-","Historia social de la Argentina contemporánea / Torcuato S. Di Tella","HN263.5 .D522 1998"
"Sarli Gianfaldoni, Elvira","Ritrovarsi a Vienna : romanzo / Elvira Sarli Gianfaldoni","PQ4879.A75 R5 1997"
"Pickering, O. S. (Oliver S.)","Manuscripts in Lambeth Palace Library, including those formerly in Sion College Library / O.S. Pickering and V.M. O'Mara","Z6621.L824 P53 1999"
"Gulbransson, Grete, 1882-1934","Tagebücher / Grete Gulbransson   herausgegeben und kommentiert von Ulrike Lang","PT2613.U46 Z47 1998"
"Swenson, Ruth Ann","I carry your heart [sound recording]","comdisc 9508"
"Rimsky-Korsakov, Nikolay, 1844-1908","Concertos, piano, orchestra, op. 30, C# minor; Piano concerto in C sharp minor, op 30 [sound recording] / Rimsky-Korsakov. Piano concerto no 1 in F# minor, op 1   Piano concerto no 2 in Eb, op. posth. / Balakirev","comdisc 9621"
"Schubert, Franz, 1797-1828","Vocal music. Selections; An 1816 Schubertiad [sound recording]","comdisc 9683"
"Marx, Joseph, 1882-1964","Romantisches Klavierkonzert; Romantisches Klavierkonzert [sound recording] / Marx. Piano concerto for the left hand / Korngold","comdisc 9617"
"Glazunov, Aleksandr Konstantinovich, 1865-1936","Concertos, piano, orchestra, no. 1, op. 92, F minor; Piano concerto no. 1 in F minor [sound recording]   Piano concerto no. 2 in B major / Alexander Glazunov. Concertstück, op. 11 / Alexander Goedicke","comdisc 9622"
"Albert, Eugen d', 1864-1932","Concertos, piano, orchestra, no. 1, op. 2, B minor; Piano concerto no 1 in B minor op 2 [sound recording]   Piano concerto no 2 in E major op 12 / Eugen d'Albert","comdisc 9619"
"Zimerman, Krystian, Instrumentalist.","Krystian Zimerman [sound recording]","comdisc 9698"
"Mojtabai, A. G., 1937-","Soon : tales from hospice / A.G. Mojtabai","PS3563.O374 S58 1998"
"Robb, Peter","M / by Peter Robb","ND623.C26 R59 1998"
"Huss, Henry Holden, 1862-1953","Concertos, piano, orchestra, op. 10, B major; Piano concerto in B major, op. 10 [sound recording] / Henry Holden Huss. Suite fantastique : op. 7 / Ernest Schelling","comdisc 9618"
"Weber, Carl Maria von, 1786-1826","Piano, orchestra music; Piano concerto no. 1 in C [sound recording]   Piano concerto no. 2 in E flat   Konzertstück : in F minor / Weber","comdisc 9620"
"Mozart, Wolfgang Amadeus, 1756-1791","Zauberflöte; Die Zauberflöte [sound recording] / Mozart","comdisc 9614"
"","Sacred bond : Black men and their mothers / [compiled] by Keith Michael Brown   foreword by James McBride   photographs by Adger W. Cowans","E185.86 .S23 1998"
"Crawford, Richard, 1935-","An introduction to America's music / Richard Crawford","ML200 .C72 2001"
"","Rosalie : Bilder und Räume : Theater, Malerei, Objekte, Installationen / Texte von Reinhard Beuth ... [et al.]   mit einem Geleitwort von Hans Werner Henze   herausgegeben von Uwe Schweikert und Thomas Jürgens","PN2096.R67 R67 2000"
"","Kirchen- und Theologiegeschichte in Quellen : ein Arbeitsbuch / hrsg. von Heiko A. Oberman, Adolf Martin Ritter und Hans-Walter Krumwiede","BR141 .K47 1997"
"Anderson, Don, 1953-","PCI system architecture / Mindshare, Inc.   Don Anderson, Tom Shanley","QA76.9.A73 A528 1999"
"Kershaw, Robert J., 1950-","It never snows in September : the German view of Market-Garden and the Battle of Arnhem, September, 1944 / Robert J. Kershaw","D763.N42 A733 1994"
"Lekeu, Guillaume, 1870-1894","Sonatas, violoncello, piano, F major; Musique de chambre [sound recording] / Guillaume Lekeu","comdisc 9704"
"Pagnini, Francesca, Instrumentalist.","Biedermeier sonatas [sound recording] / Richter, Wilm, Müller","comdisc 9553"
"Bousková, Jana, Instrumentalist.","Harfenkonzerte [sound recording] / Jana Bouskova","comdisc 9555"
"Brautigam, Ronald, 1954- Performer.","Ronald Brautigam, piano [sound recording]","comdisc 9134"
"Schleiermacher, Steffen, Performer.","Music at the Bauhaus [sound recording]","comdisc 9171"
"Mozart, Wolfgang Amadeus, 1756-1791","Concertos, piano, orchestra, K. 482, Eb major; Recordings 1941-1946 [sound recording] / Artur Schnabel","comdisc 9420"
"SAVAE (Musical group) Performer.","El milagro de Guadalupe [sound recording]","comdisc 9341"
"Le Bon, Gustave, 1841-1931","Enseignements psychologiques de la guerre européenne. English; The psychology of the Great War / by Gustave Le Bon   translated by E. Andrews","D523 .L4213 1916"
"Strauss, Johann, 1825-1899","Orchestra music. Selections; 100 most famous works. Vol. 7 [sound recording] / Johann Strauss Jr","comdisc 9547 vol. 7"
"Strauss, Johann, 1825-1899","Orchestra music. Selections; 100 most famous works. Vol. 8 [sound recording] / Johann Strauss Jr","comdisc 9547 vol. 8"
"","Legendy i predaniia Kryma / [redaktor-sostavitel A.E. Tarkhov   otvetstvennyi za vypusk, N.A. Taranova]","GR203.9.C75 L44 1998"
"Rudhyar, Dane, 1895-","Stanzas; Five stanzas [sound recording] / Dane Rudhyar. Pelleas and Melisande, op. 5 / Arnold Schoenberg","comdisc 9708"
"Taylor, Thomas Ulvan, 1858-","The Chisholm trail and other routes / by T.U. Taylor","F596 .T38 1936"
"","International encyclopedia of the social & behavioral sciences / editors-in-chief Neil J. Smelser, Paul B. Baltes","H41 .I58 2001"
"","The debt market / edited by Stephen A. Ross","HG4651 .D43 2000"
"","Massenmedien und Zeitgeschichte / Jürgen Wilke (Hg.)","P96.H55 D48 1999"
"Brahms, Johannes, 1833-1897","Concertos, violin, orchestra, op. 77, D major; Violinkonzert, op. 77 [sound recording] / Johannes Brahms. Fantasie, op. 131 / Robert Schumann","comdisc 9635"
"Makhous, Monzer, 1943-","The formation of hydrocarbon deposits in the North African basins : geological and geochemical conditions / Monzer Makhous","TN877.A1 .M66 2001"
"Zimmer, Darynn, Vocalist.","Oiseau bleu [sound recording] / mélodies françaises de Massenet, Delage, Beydts, Gounod","comdisc 9091"
"Kumar, Anil, 1962-","Global executive information systems : key issues and trends / Anil Kumar","T58.62 .K86 2000"
"Fasch, Johann Friedrich, 1688-1758","Ouvertürensuite. Selections; Orchestral suites [sound recording] / Johann Friedrich Fasch","comdisc 9550"
"","Elan [sound recording] : vocal and instrumental music / by composers from México and the US","comdisc 9022"
"","Rethinking music / edited by Nicholas Cook & Mark Everist","ML3797.1 .R48 1999"
"Harper, Richard P","Upper Zohar : an early Byzantine fort in Palaestina Tertia : final report of excavations in 1985-1986 / Richard P. Harper   with contributions by Gillian Clark ... [et al.]","DS110.U65 H37 1995"
"Stravinsky, Igor, 1882-1971","Selections; Stravinsky conducts Stravinsky [sound recording]","comdisc 9524"
"","Der verblümte Sinn : Illustrationen zu den Metamorphosen des Ovid : Galerie der Stadt Kornwestheim, Ausstellung vom 19. Oktober 1997 bis 5. Januar 1998 / [Redaktion, Marion Keiner, Jens Kräubig, Irene Ott]","PA6533 .V47 1997"
"","Caro Olgogigi : lettere ad Olga e Luigi Lodi : dalla Roma bizantina all'Italia fascista (1881-1933) / [a cura di] Ferdinando Cordova","DG556.L64 A4 1999"
"Di Montauto, Fabrizio","Manuale di araldica / Fabrizio Di Montauto","CR1962 .D5 1999"
"Arnold, William Thomas, 1852-1904","The Roman system of provincial administration : to the accession of Constantine the Great / by W.T. Arnold","JC85.P9 A7 1914"
"Schliemann, Heinrich, 1822-1890","Ilios, the city and country of the Trojans : the results of researches and discoveries on the site of Troy and throughout the Troad in the years 1871, 72, 73, 78, 79   including an autobiography of the author / Heinrich Schliemann","DF221.T8 S3 1989"
"Aristotle","De anima. English; De anima / Aristotle   with translation, introd., and notes by Robert Drew Hicks","PA3892 .A2 1988"
"Fisk, Eliot","Für Eliot [sound recording] / [performed by] Eliot Fisk","comdisc 9418"
"Berkeley, Lennox, Sir, 1903-","Chamber music. Selections; Lennox Berkeley [sound recording]","comdisc 9557"
"Fuller, Andrew, violoncellist","The romantic cello [sound recording] / Andrew Fuller   Michael Dussek","comdisc 9556"
"Waddington, C. H. (Conrad Hal), 1905-1975","Principles of embryology / by C.H. Waddington","QL955 .W335 1956"
"Barthes, Roland","S-Z. English; S/Z. Roland Barthes, translated by Richard Miller, preface by Richard Howard","P99 .B313 1974"
"Mildenberger, Hermann","Im Blickfeld der Goethezeit / Hermann Mildenberger ... [et al.]","ND1951 .M55 1997"
"","Ernst Neufert : normierte Baukultur im 20. Jahrhundert / zsgst. von Walter Prigge","NA1088.N38 E77 1999"
"Paredes, Alonso Víctor de, 17th cent","Institución y origen del arte de la imprenta y reglas generales para los componedores / por Alonso Víctor de Paredes   edición y prólogo de Jaime Moll","Z253 .P26 1984"
"Bottesini, Giovanni, 1821-1889","Grande duetto, no. 1-3; Tre grandi duetti per contrabbassi [sound recording] / Giovanni Bottesini","comdisc 9551"
"Janácek, Leos, 1854-1928","Instrumental music. Selections; Conte [sound recording]   Presto   Sonate   Capriccio   Concertino / Janácek","comdisc 9491"
"Pärt, Arvo","Symphonies, no. 3; Symphony no. 3 [sound recording] / Kancheli. Symphony no. 3   Fratres / Pärt","comdisc 9490"
"Bertram, G. C. L. (George Colin Lawder)","Arctic and Antarctic : a prospect of the polar regions / by Colin Bertram","G597 .B4 1958"
"Kansteiner, Sascha","Herakles : die Darstellungen in der Grossplastik der Antike / von Sascha Kansteiner","NB163.H4 K34 2000"
"","James Loeb 1867-1933 : Kunstsammler und Mäzen : Schlossmuseum Murnau / bearbeitet von Brigitte Salmen   [Herausgeber, Schlossmuseum des Marktes Murnau]","N5220.L62 J36 2000"
"","Gutenberg in Eltville, oder wie sich die Buchdruckerkunst die Welt eroberte = Gutenberg in Eltville, or how the printed word took over the world","Z148.E5 G88 2000"
"Bae, Ki-Chung","Chinaromane in der deutschen Literatur der Weimarer Republik / von Ki-Chung Bae","PT749.C5 B34 1999"
"Berlioz, Hector, 1803-1869","Symphonie fantastique [sound recording] / Berlioz. Symphony no. 5 / Schubert. Prometheus overture / Beethoven","comdisc 9624"
"","Kursbuch Stadt : Stadtleben und Stadtkultur an der Jahrtausendwende / Redaktion, Stefan Bollmann","HT151 .K87 1999"
"Geisenberger, Jürgen","Joseph Beuys und die Musik / von Jürgen Geisenberger","N6888.B463 G45 1999"
"Brahms, Johannes, 1833-1897","Concertos, violin, violoncello, orchestra, op. 102, A minor; Pau Casals plays Brahms [sound recording]","comdisc 9700"
"Schubert, Franz, 1797-1828","Octets, woodwinds, horn, strings, D. 803, F major; Octet, D803 [sound recording] / Schubert. Octet, op. 32 / Spohr","comdisc 9702"
"","Profesjonsmakt : på sporet av en norsk helsepolitisk tradisjon / Vibeke Erichsen (red.)","R690 .P74 1996"
"Pennington, Estill Curtis","The last meeting's lost cause / by Estill Curtis Pennington","ND237.J92 A68 1988"
"International Symposium on Gene Therapy (1994 : Valencia, Spain)","Gene therapy / [edited by Fundación BBV. Documenta]","RB155.8 .I575 1994"
"","In principio era il corpo-- : l'arte del movimento a Mosca negli anni '20 / a cura di Nicoletta Misler","GV1664.M64 I52 1999"
"Arrais, Amador, ca. 1530-1600","Diálogos de D. Frei Amador Arrais / introd. e revisão de M. Lopes de Almeida","BX1750 .A7 1974"
"Connaughton, R. M. (Richard Michael), 1942-","The battle for Manila / Richard Connaughton, John Pimlott, and Duncan Anderson","D767.4 .C595 1995"
"Schubert, Franz, 1797-1828","Songs. Selections; The Hyperion Schubert edition. 36 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9685"
"Wangerin, Wolfgang","Sich in den Künsten selbst erfahren : kreative Rezeption als Gruppenprozess / Wolfgang Wangerin","NX165 .W36 1997"
"Geminiani, Francesco, 1687-1762","Instrumental music. Selections; Concerti grossi (after Corelli op. 5) [sound recording] / Geminiani","comdisc 9573"
"Raynor, Henry","A social history of music : from the Middle Ages to Beethoven   Music & society since 1815 / Henry Raynor","ML3795 .R4 1978"
"Rickford, John R., 1949-","African American vernacular English : features, evolution, educational implications / John R. Rickford","PE3102.N42 R53 1999"
"Schubert, Franz, 1797-1828","Vocal music. Selections; The Hyperion Schubert edition. 35 [sound recording] : Complete songs = Sämtliche Lieder = Mélodies intégrales","comdisc 9684"
"Dunn, James Taylor","Saint Paul's Schubert Club : a century of music (1882-1982) / by James Taylor Dunn   [with an introduction by Patricia Hampl]","ML28.S24 S42 1983"
"Whitford, Frank","Kandinsky / Frank Whitford","N6999.K33 W547 1967"
"Butikov, G. P. (Georgii Petrovich)","Isaakievskii sobor. English; St. Isaac's Cathedral, Leningrad / [compiled and introduced by G. Butikov]","NA5696.S4 B89 1974"
"Lazarev, Viktor Nikitich, 1897-1976","Moskovskaia shkola ikonopisi = Moscow school of icon-painting / by V.N. Lazarev   [translated by G.V. Strelkova, colour photographs by E.I. Steynert]","N8189.R92 M64 1971"
"Ohler, Norbert","Pilgerstab und Jakobsmuschel : Wallfahren in Mittelalter und Neuzeit / Norbert Ohler","BX2323 .O35 2000"
"Jeans, James Hopwood, Sir, 1877-1946","Astronomy and cosmogony / by J.H. Jeans","QB43 .J4 1928"
"Anderson, Simon V","The musical imperative / by Simon V. Anderson","MT6.A52 M9 1984"
"Oropesa, Salvador A., 1961-","La novelística de Antonio Muñoz Molina : sociedad civil y literatura lúdica / Salvador A. Oropesa, editores [sic]","PQ6663.U4795 Z84 1999"
"Donzelli, Carlo","I pittori veneti del Settecento / Carlo Donzelli","ND621.V5 D6 1957"
"","Auctores latini et graeci tardae aetatis (saec. IV-VI p. Ch. n.) quorum scripta ad propositum opus utilia videntur / a cura di R.B. Bruno Siola, S. Giglio, S. Lazzarini   iterum curavit G.M. Facchetti","Z7016 .A93 2000"
"","Rubén Darío y el arte de la prosa : ensayo, retratos y alegorías / edición dirigida por Cristóbal Cuevas García y coordinada por Enrique Baena   organización del Congreso, Ana Gómez Torres ... [et al.]","PQ7519.D3 Z8752 1998"
"Romero López, Antonio","Literatura, educación y pedagogía lingüística en la crisis de fin de siglo : presencia de las ideas pedagógicas de la Institución Libre de Enseñanza / Antonio Romero, Rita Mariscal","LA911.7 .R64 1999"
"","La poesía de María Victoria Atencia : un acercamiento crítico / edición de Sharon Keefe Ugalde","PQ6601.T4 Z79 1998"
"Genta, Adriana","La pecadora, habanera para piano / Adriana Genta. África 30 / de Mercé Sarrias   presentación de Juan Antonio Hormigón   prólogo de Carmen Portaceli","PQ7798.17.E58 P43 1997"
